"BookletNumber","VH098519","VH098522","VH098556","VH098597","VH098740","VH098753","VH098759","VH098779","VH098783","VH098808","VH098810","VH098812","VH098834","VH098839","VH134366","VH134373","VH134387","VH139047","VH139196"
2023034526,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
2023080200,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
2023097048,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
2023107612,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1
2023138712,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2023193322,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
2023196551,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0
2023202682,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
2023203794,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2023205428,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023209768,1,NA,NA,0,0,1,0,NA,0,0,0,0,NA,0,1,0,0,1,0
2023220079,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
2023221172,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2023223400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2023225241,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
2023226191,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0
2023266664,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
2023274179,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
2023275531,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2023277488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2023312844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2023324346,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2023324516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2023325709,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2023328937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2023359964,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2023361926,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2023384900,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
2033055267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2033061348,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2033090232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2033108531,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0
2033109723,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2033110250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033110501,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2033113569,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
2033137263,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2033150464,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2033150804,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2033187856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033193414,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
2033215124,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0
2033221515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2033229931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2033239244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033254065,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2033255061,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2033262912,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2033276026,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2033276212,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0
2033280643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033281054,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0
2033292978,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
2033324667,1,NA,NA,NA,0,1,1,NA,1,1,0,0,NA,1,1,1,1,1,0
2033355783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2033361929,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2033371690,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0
2043008776,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
2043029072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043036915,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
2043057513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043082020,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
2043103086,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2043108118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2043108801,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2043112450,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2043113391,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2043113499,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2043136405,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2043139374,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2043143452,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2043149426,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2043185201,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
2043188936,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
2043189185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2043189380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2043202939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2043206616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2043215330,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2043219971,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
2043228598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2043260521,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
2043271698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043285834,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
2043324414,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2043333413,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2043363011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
2053008795,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2053010919,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
2053088608,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2053110514,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2053110824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2053111171,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2053136416,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2053138621,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2053139121,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0
2053145156,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2053151911,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2053186243,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2053186332,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2053206449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2053219478,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1
2053228922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2053255202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2053267073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2053268363,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
2053269491,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2053273073,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
2053276285,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0
2053317691,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1
2053323330,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2053325456,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2053330301,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0
2053332436,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1
2053339252,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0
2053342555,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,1,0
2053371482,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0
2063006833,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2063023681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2063054188,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0
2063057578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
2063084702,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
2063108725,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2063109578,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
2063109667,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2063114261,1,NA,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0
2063122086,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0
2063142419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2063146368,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
2063150721,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
2063170820,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
2063185827,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2063204309,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2063211623,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
2063213758,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2063219641,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
2063226124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063229107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2063238122,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0
2063251927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2063268871,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
2063269061,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2063296823,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
2063314554,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
2063323910,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
2063351018,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0
2073058763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
2073060750,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2073097904,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0
2073111613,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
2073127307,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0
2073131304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2073132246,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
2073136390,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
2073149629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2073153626,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
2073161033,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2073182235,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2073201493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2073201914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073251938,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2073252179,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
2073264436,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
2073269055,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
2073274407,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2073274938,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2073287380,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2073304586,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
2073323017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2073323416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2073324412,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2073328167,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
2073332971,1,NA,0,0,0,1,0,NA,1,1,0,0,NA,1,1,1,0,1,0
2073333721,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0
2073334477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2073351100,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
2073356900,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2073363035,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0
2073368908,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
2083000016,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1
2083000083,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2083000334,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0
2083000351,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
2083000431,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083000962,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0
2083001063,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
2083001471,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2083001772,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0
2083001888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2083001969,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1
2083002060,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083002566,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2083002825,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
2083003074,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
2083003929,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
2083004194,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0
2083004704,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0
2083004950,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0
2083005301,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2083005557,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083005611,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2083005743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
2083005972,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
2083008203,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
2083008645,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0
2083008653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2083008793,0,NA,0,0,0,1,0,NA,1,0,0,0,NA,0,0,0,0,1,0
2083008807,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083008947,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0
2083008955,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2083008971,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2083008998,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0
2083009587,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
2083010747,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2083010836,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0
2083011581,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
2083014165,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
2083014220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083014734,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083014831,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
2083015269,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
2083015421,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0
2083015510,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1
2083015773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2083015935,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
2083016281,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
2083016460,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
2083016711,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083016800,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0
2083016877,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2083017113,0,NA,0,0,0,1,1,0,1,1,0,0,NA,1,1,1,0,1,0
2083017300,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0
2083017903,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0
2083018101,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2083018161,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
2083018314,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
2083018411,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
2083018560,0,NA,0,0,0,1,1,NA,1,1,0,0,NA,1,0,1,0,1,0
2083018594,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
2083018667,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
2083019191,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
2083019353,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0
2083019604,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0
2083019701,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0
2083019795,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
2083020114,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2083020742,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0
2083020891,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
2083020955,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1
2083020998,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
2083021218,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0
2083022591,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1
2083022681,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
2083022753,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
2083022931,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
2083023016,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0
2083023385,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0
2083023539,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2083023636,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0
2083023784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2083024136,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2083024543,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0
2083024632,0,NA,0,0,0,1,1,NA,0,0,0,0,NA,0,0,1,0,0,0
2083024896,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
2083025329,1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
2083026023,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0
2083026589,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
2083026848,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
2083027020,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1
2083027526,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0
2083027968,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0
2083028298,0,NA,NA,NA,0,0,1,NA,0,0,0,0,NA,0,1,0,0,1,0
2083028379,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
2083029243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2083029260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083029677,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0
2083029693,1,NA,NA,NA,0,1,1,NA,1,1,0,1,NA,NA,1,1,0,1,1
2083030268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
2083030705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2083030934,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
2083031019,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
2083031108,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0
2083031205,0,0,NA,0,0,1,1,NA,1,0,0,0,NA,0,0,1,0,1,1
